Sampling rate,k,mse,accuracy,mae
0.0016667,1,0.0001582044284605999,0.0,0.0018822583564906382
0.0016667,2,3.01641890200699e-05,0.0,0.0015324780438095331
0.0016667,4,0.00028958884160601884,0.0,0.005058766305446625
0.0016667,8,7.260929079393463e-06,0.0,0.0006520482932683081
0.0016667,16,4.388376255519688e-06,0.0,0.0018383501470088958
0.0016667,32,5.5845042794544494e-08,0.0,0.0001009446388343349
0.016667,1,0.06700206637382507,0.0,0.1904720437526703
0.016667,2,1.246456127166748,0.0,1.0889045000076294
0.016667,4,0.8101168298721313,0.0,0.865393362045288
0.016667,8,1.1694103240966798,0.0,1.0529326581954956
0.016667,16,2.048058567047119,0.0,1.4100803899765015
0.016667,32,0.3514378356933594,0.0,0.5381079721450805
1,1,34.180351638793944,0.0,5.135631103515625
1,2,42.90569412231445,0.0,5.886825542449952
1,4,34.423949279785155,0.0,5.158580875396728
1,8,36.11208602905273,0.0,5.280309886932373
1,16,35.70698028564453,0.0,5.179264163970947
1,32,45.26442901611328,0.0,6.245367469787598
15,1,42.94894714355469,0.0,4.63467695236206
15,2,41.71250473022461,0.0,4.582413749694824
15,4,40.525914611816404,0.0,4.504600486755371
15,8,40.51919326782227,0.0,4.5237485122680665
15,16,40.51860626220703,0.0,4.526616592407226
15,32,41.54298233032227,0.0,4.559113178253174
30,1,0.00020483210844759013,0.0,0.003526209378615022
30,2,4.961200582329184e-05,0.0,0.005919107906520366
30,4,3.4799217246472836e-05,0.0,0.005725292637944222
30,8,0.00010836353932972997,0.0,0.008487600460648536
30,16,0.00014691913209389896,0.0,0.01043615911155939
30,32,0.0035687841102480886,0.0,0.04261395618319511
55,1,45.57224670410156,0.0,6.084253311157227
55,2,40.24149154663086,0.0,5.605228652954102
55,4,37.19714431762695,0.0,5.274301948547364
55,8,39.66595687866211,0.0,5.512695350646973
55,16,37.1931185913086,0.0,5.256717720031738
55,32,37.211531524658206,0.0,5.258089752197265
