Sampling rate,k,mse,accuracy,mae
0.016667,1,1.8630214214324952,0.0,1.3425398254394532
0.016667,2,0.7825526332855225,0.0,0.849249095916748
0.016667,4,0.5669269514083862,0.0,0.710890817642212
0.016667,8,0.3514216661453247,0.0,0.5380583238601685
0.016667,16,0.0128750079870224,0.0,0.07051002979278564
0.016667,32,1.279717617034912,0.0,1.1041328716278076
1,1,38.25840347290039,0.0,5.420823192596435
1,2,45.168040161132815,0.0,6.1535912704467775
1,4,32.22363174438477,0.0,4.832083883285523
1,8,44.69039810180664,0.0,6.107399845123291
1,16,34.234190673828124,0.0,4.973541851043701
1,32,44.69002471923828,0.0,6.107143936157226
15,1,42.68592910766601,0.0,4.638390102386475
15,2,41.71206176757813,0.0,4.576207065582276
15,4,40.52593856811524,0.0,4.531943187713623
15,8,40.51870422363281,0.0,4.5280803871154784
15,16,40.99236724853515,0.0,4.995761032104492
15,32,40.54176040649414,0.0,4.5752567863464355
30,1,0.000733586874557659,0.0,0.020759552791714667
30,2,0.00036949182162061335,0.0,0.019084515571594237
30,4,0.0004632050707004964,0.0,0.021283955946564674
30,8,0.00026175833074375986,0.0,0.012722408473491669
30,16,0.0038271093927323818,0.0,0.05836581707000733
30,32,0.002632881896570325,0.0,0.04783247321844101
45,1,43.00285659790039,0.0,4.643187198638916
45,2,41.78294219970703,0.0,4.582450218200684
45,4,40.54338348388672,0.0,4.5413577842712405
45,8,40.501627655029296,0.0,4.524748592376709
45,16,40.509600219726565,0.0,4.523627033233643
45,32,40.82861373901367,0.0,4.575706424713135
50,1,46.92833450317383,0.0,5.900957202911377
50,2,40.943422393798826,0.0,5.2823763275146485
50,4,38.74091705322266,0.0,5.073176383972168
50,8,38.72164794921875,0.0,5.091739120483399
50,16,38.739225463867186,0.0,5.079155311584473
50,32,39.44158172607422,0.0,5.132738361358642
55,1,45.560496215820315,0.0,6.086673812866211
55,2,38.6293408203125,0.0,5.396129379272461
55,4,40.294124145507816,0.0,5.5450664901733395
55,8,39.66566482543945,0.0,5.509064102172852
55,16,37.196585235595705,0.0,5.259973888397217
55,32,37.19145233154297,0.0,5.284875545501709
