Sampling rate,k,mse,accuracy,mae
0.0016667,1,0.0278534135222435,0.0,0.1664556860923767
0.0016667,2,0.00029425793327391147,0.0,0.015449084341526031
0.0016667,4,0.010934078320860862,0.0,0.1039474755525589
0.0016667,8,0.027432175800204277,0.0,0.16523803770542145
0.0016667,16,0.002790061249397695,0.0,0.05047156289219856
0.0016667,32,0.12175849080085754,0.0,0.3483588695526123
0.016667,1,0.07020189046859741,0.0,0.20684601366519928
0.016667,2,1.247951307296753,0.0,1.0897425413131714
0.016667,4,0.8112168169021606,0.0,0.8661912679672241
0.016667,8,1.1695757484436036,0.0,1.053039312362671
0.016667,16,2.048187608718872,0.0,1.4101364612579346
0.016667,32,0.42592968940734866,0.0,0.634432315826416
1,1,34.183544921875,0.0,5.136020660400391
1,2,43.003239135742184,0.0,5.91071891784668
1,4,33.21399787902832,0.0,4.956076622009277
1,8,35.53574981689453,0.0,5.077338695526123
1,16,35.535648803710934,0.0,5.084996223449707
1,32,44.979995574951175,0.0,6.150020599365234
15,1,42.96529479980469,0.0,5.00069522857666
15,2,42.17785232543945,0.0,5.049020290374756
15,4,40.86538070678711,0.0,4.9132161140441895
15,8,40.92462707519531,0.0,4.960153102874756
15,16,40.93725051879883,0.0,4.966012001037598
15,32,41.856308135986325,0.0,4.9376091957092285
30,1,0.005681934300810099,0.0,0.07501843571662903
30,2,0.2839801216125488,0.0,0.5317901968955994
30,4,0.0677463749051094,0.0,0.25780102610588074
30,8,0.004180513322353363,0.0,0.05977031588554382
30,16,1.0003044080734254,0.0,0.999686598777771
30,32,0.5622545075416565,0.0,0.7489550709724426
55,1,45.590057373046875,0.0,6.08535623550415
55,2,40.20485397338867,0.0,5.667902946472168
55,4,37.20167663574219,0.0,5.288367748260498
55,8,39.68507537841797,0.0,5.559033393859863
55,16,37.209310150146486,0.0,5.302688121795654
55,32,37.21435729980469,0.0,5.306767463684082
