Sampling rate,k,mse,accuracy,mae
0.0016667,1,0.00018527363339671866,0.0,0.009236820042133331
0.0016667,2,0.0012486509105656296,0.0,0.023592378944158554
0.0016667,4,0.0014342061383649707,0.0,0.028328701853752136
0.0016667,8,2.353441981540527e-05,0.0,0.004835969768464565
0.0016667,16,5.470377072924748e-06,0.0,0.0011693753767758608
0.0016667,32,0.00011676876223646105,0.0,0.010798733681440353
0.016667,1,0.07463537096977234,0.0,0.21292245388031006
0.016667,2,1.2470154762268066,0.0,1.0892858505249023
0.016667,4,0.820977725982666,0.0,0.8728244304656982
0.016667,8,1.171968364715576,0.0,1.054226040840149
0.016667,16,2.0480646896362305,0.0,1.410082221031189
0.016667,32,0.35293158769607547,0.0,0.5406545996665955
1,1,34.18198425292969,0.0,5.136071681976318
1,2,42.916967163085936,0.0,5.889172554016113
1,4,33.26543067932129,0.0,4.959362030029297
1,8,35.69508453369141,0.0,5.169004917144775
1,16,36.31838592529297,0.0,5.3112969398498535
1,32,44.99041076660156,0.0,6.159600734710693
15,1,42.963153991699215,0.0,4.658823013305664
15,2,41.78636352539063,0.0,4.583596706390381
15,4,40.55663619995117,0.0,4.572392463684082
15,8,40.542328643798825,0.0,4.603844165802002
15,16,41.03197235107422,0.0,5.01584529876709
15,32,45.06088424682617,0.0,4.765897750854492
30,1,0.008922799751162528,0.0,0.09262711554765701
30,2,0.0031953683495521547,0.0,0.05570882931351662
30,4,0.00677052304148674,0.0,0.08085713535547256
30,8,0.668056128025055,0.0,0.8168094158172607
30,16,0.9926157331466675,0.0,0.9958433508872986
30,32,0.04296407595276833,0.0,0.1600809097290039
55,1,45.61443954467774,0.0,6.086698055267334
55,2,40.20496475219726,0.0,5.66800594329834
55,4,37.26175506591797,0.0,5.365839958190918
55,8,39.74069076538086,0.0,5.6049370765686035
55,16,37.22059783935547,0.0,5.3186750411987305
55,32,37.33416702270508,0.0,5.40957498550415
