Sampling rate,k,mse,accuracy,mae
0.0016667,1,0.00015112379804122612,0.0,0.0034137022215873004
0.0016667,2,0.00016329477497492917,0.0,0.008613642137497664
0.0016667,4,8.902212161046919e-05,0.0,0.006810055300593376
0.0016667,8,4.5261215200298464e-05,0.0,0.005506448093801737
0.0016667,16,9.728849636303494e-07,0.0,0.0008784304582513868
0.0016667,32,2.146701922356442e-07,0.0,0.0002872741234023124
0.016667,1,0.06720917165279389,0.0,0.1946384346485138
0.016667,2,1.246455397605896,0.0,1.0889040327072144
0.016667,4,0.8101165199279785,0.0,0.8653931713104248
0.016667,8,1.1694089841842652,0.0,1.052931957244873
0.016667,16,2.048058567047119,0.0,1.4100803899765015
0.016667,32,0.35141940116882325,0.0,0.5380546998977661
1,1,34.181717529296876,0.0,5.13606071472168
1,2,42.80753997802734,0.0,5.836497077941894
1,4,33.11517822265625,0.0,4.891198415756225
1,8,35.533505859375,0.0,5.070934524536133
1,16,35.53185485839844,0.0,5.071120796203613
1,32,44.97692169189453,0.0,6.141204566955566
15,1,42.94861022949219,0.0,4.634635181427002
15,2,41.71200790405273,0.0,4.572198657989502
15,4,40.52589797973633,0.0,4.5022451782226565
15,8,40.52015182495117,0.0,4.540421619415283
15,16,40.51845733642578,0.0,4.52266450881958
15,32,41.54327880859375,0.0,4.567581787109375
30,1,0.00029832359665306286,0.0,0.009992170333862304
30,2,3.12033563022851e-05,0.0,0.003328421600162983
30,4,1.1751479105441831e-05,0.0,0.002357429405674338
30,8,0.00011779572465457022,0.0,0.007785782776772976
30,16,0.00018358672270551323,0.0,0.012127636782824993
30,32,1.3637289011967368e-05,0.0,0.002732495805248618
55,1,45.56820648193359,0.0,6.084094181060791
55,2,40.220908203125,0.0,5.561021556854248
55,4,37.197086791992184,0.0,5.270417175292969
55,8,39.665940856933595,0.0,5.512584896087646
55,16,37.193009490966794,0.0,5.254086875915528
55,32,37.25353454589844,0.0,5.261090564727783
