Sampling rate,k,mse,accuracy,mae
0.0016667,1,0.00035760966944508254,0.0,0.0144746296107769
0.0016667,2,0.0004571449721697718,0.0,0.020255020707845687
0.0016667,4,0.002146783359348774,0.0,0.04583011940121651
0.0016667,8,0.0001446634705644101,0.0,0.011279861479997634
0.0016667,16,1.3176622178434627e-06,0.0,0.0010495969746261834
0.0016667,32,0.0005105097801424563,0.0,0.02241755336523056
0.016667,1,0.035323646068572995,0.0,0.1309386658668518
0.016667,2,1.360451021194458,0.0,1.1401064777374268
0.016667,4,0.3162393498420715,0.0,0.5042442011833191
0.016667,8,0.13911229014396667,0.0,0.2991291093826294
0.016667,16,0.3896353006362915,0.0,0.5725267767906189
0.016667,32,1.3951337814331055,0.0,1.1552765321731568
1,1,45.37901550292969,0.0,6.1255402183532714
1,2,42.844669342041016,0.0,5.871307315826416
1,4,44.14181671142578,0.0,6.035211505889893
1,8,41.1439697265625,0.0,5.636797389984131
1,16,44.13949234008789,0.0,6.050587997436524
1,32,42.317792358398435,0.0,5.787572937011719
15,1,42.93857513427734,0.0,4.6622293663024905
15,2,41.71230285644531,0.0,4.585785121917724
15,4,40.52690994262695,0.0,4.520620727539063
15,8,40.500252380371094,0.0,4.515070056915283
15,16,40.50592727661133,0.0,4.552834739685059
15,32,40.70723785400391,0.0,4.596495590209961
30,1,0.00042583417147397997,0.0,0.018523129373788833
30,2,0.0008795831329189241,0.0,0.02775661416351795
30,4,0.0003183785639703274,0.0,0.01728839010000229
30,8,0.003213329939171672,0.0,0.055953180938959124
30,16,0.0009651061473414302,0.0,0.02581265300512314
30,32,0.0022906550858169793,0.0,0.04211905747652054
55,1,46.876255950927735,0.0,6.183827362060547
55,2,40.125136108398436,0.0,5.557416095733642
55,4,40.465051879882814,0.0,5.548824996948242
55,8,38.37429351806641,0.0,5.412973461151123
55,16,39.661293029785156,0.0,5.5074051475524906
55,32,37.21259017944336,0.0,5.257118396759033
