Sampling rate,k,mse,accuracy,mae
0.0016667,1,0.4285003304481506,0.0,0.6541160249710083
0.0016667,2,0.6786539220809936,0.0,0.8234200024604797
0.0016667,4,0.7524885416030884,0.0,0.8670960521697998
0.0016667,8,0.4941554141044617,0.0,0.7025221753120422
0.0016667,16,0.7484024405479431,0.0,0.8647358632087707
0.0016667,32,0.5542835330963135,0.0,0.7444246864318848
0.016667,1,0.06305627197027207,0.0,0.21750036597251893
0.016667,2,1.3604530334472655,0.0,1.1401074409484864
0.016667,4,0.31623966932296754,0.0,0.5042393374443054
0.016667,8,0.14019185543060303,0.0,0.306403706073761
0.016667,16,0.38963526248931885,0.0,0.5725266432762146
0.016667,32,1.3951337814331055,0.0,1.1552765321731568
1,1,45.47987854003906,0.0,6.139915218353272
1,2,42.93772155761719,0.0,5.904438648223877
1,4,44.19053497314453,0.0,6.076408615112305
1,8,41.18656219482422,0.0,5.681161556243897
1,16,44.21964080810547,0.0,6.09106876373291
1,32,42.38228332519531,0.0,5.844411220550537
15,1,42.939003448486325,0.0,4.970783767700195
15,2,42.05766357421875,0.0,4.9789895248413085
15,4,40.95064193725586,0.0,4.962170429229737
15,8,41.00247695922852,0.0,4.998423881530762
15,16,45.93289749145508,0.0,5.256473331451416
15,32,45.5316845703125,0.0,5.225791358947754
30,1,0.5757581496238708,0.0,0.7572904992103576
30,2,0.8882553648948669,0.0,0.9419006299972534
30,4,0.8225768280029296,0.0,0.9066688060760498
30,8,0.7365521144866943,0.0,0.8542391347885132
30,16,1.0070996856689454,0.0,0.9996865177154541
30,32,0.8683839154243469,0.0,0.9317584586143494
55,1,46.89075988769531,0.0,6.179322471618653
55,2,40.372623443603516,0.0,5.704955978393555
55,4,40.59449676513672,0.0,5.682241630554199
55,8,38.50888000488281,0.0,5.552938098907471
55,16,39.86504592895508,0.0,5.665639266967774
55,32,49.73469284057617,0.0,6.275763988494873
