Sampling rate,k,mae,stdv
0.0016667,1,0.10674755,0.011579668
0.0016667,2,0.073241994,0.051066175
0.0016667,4,0.039485816,0.024496628
0.0016667,8,0.009622866,0.0046492596
0.0016667,16,0.034144983,0.01663556
0.0016667,32,0.15906018,0.1138731
0.016667,1,0.41127327,0.23692857
0.016667,2,0.34183747,0.23664977
0.016667,4,10.348957,3.4167998
0.016667,8,4.932556,5.0016904
0.016667,16,1.2794262,1.2846254
0.016667,32,0.3868931,0.34169114
1,1,9.480224,6.98963
1,2,10.401397,7.710797
1,4,8.449117,6.3664966
1,8,4.7198806,3.9836462
1,16,2.3953438,2.316811
1,32,1.0610924,1.294499
