Sampling rate,k,mae,stdv
0.0016667,1,0.054316048,0.018736454
0.0016667,2,0.02402659,0.015986836
0.0016667,4,0.0064753057,0.0058106203
0.0016667,8,0.053587727,0.028195245
0.0016667,16,0.13039273,0.085122555
0.0016667,32,0.08376595,0.06584701
0.016667,1,0.36847383,0.26041433
0.016667,2,8.464153,1.3358248
0.016667,4,9.488125,3.45726
0.016667,8,4.331598,5.182955
0.016667,16,2.922066,2.8803208
0.016667,32,1.3003176,1.6149713
1,1,11.614804,6.2182236
1,2,11.082195,6.525876
1,4,10.023445,5.955156
1,8,2.9571316,2.4946513
1,16,2.8505285,2.1444952
1,32,0.6099248,0.6921884
