Sampling rate,k,mae,stdv,mae + stdv
,,,,
0.0016667,1,0.10674755,0.011579668,0.118327218
,,,,
0.0016667,2,0.073241994,0.051066175,0.124308169
,,,,
0.0016667,4,0.039485816,0.024496628,0.063982444
,,,,
0.0016667,8,0.009622866,0.00464926,0.014272126
,,,,
0.0016667,16,0.034144983,0.01663556,0.050780543
,,,,
0.0016667,32,0.15906018,0.1138731,0.27293328
,,,,
0.016667,1,0.41127327,0.23692857,0.64820184
,,,,
0.016667,2,0.34183747,0.23664977,0.57848724
,,,,
0.016667,4,10.348957,3.4167998,13.7657568
,,,,
0.016667,8,4.932556,5.0016904,9.9342464
,,,,
0.016667,16,1.2794262,1.2846254,2.5640516
,,,,
0.016667,32,0.3868931,0.34169114,0.72858424
,,,,
1,1,9.480224,6.98963,16.469854
,,,,
1,2,10.401397,7.710797,18.112194
,,,,
1,4,8.449117,6.3664966,14.8156136
,,,,
1,8,4.7198806,3.9836462,8.7035268
,,,,
1,16,2.3953438,2.316811,4.7121548
,,,,
1,32,1.0610924,1.294499,2.3555914
