Sampling rate,k,mae,stdv,mae + stdv
,,,,
0.0016667,1,0.16853835,0.039146908,0.207685258
,,,,
0.0016667,2,0.08316881,0.041920956,0.125089766
,,,,
0.0016667,4,0.056844205,0.034973662,0.091817867
,,,,
0.0016667,8,0.11466704,0.0802166,0.19488364
,,,,
0.0016667,16,0.117098816,0.102840364,0.21993918
,,,,
0.0016667,32,0.024005054,0.018725825,0.042730879
,,,,
0.016667,1,0.24033444,0.1578417,0.39817614
,,,,
0.016667,2,2.8242974,0.55433863,3.37863603
,,,,
0.016667,4,1.8426079,0.7128261,2.555434
,,,,
0.016667,8,2.4439988,1.0250894,3.4690882
,,,,
0.016667,16,1.8586454,0.6452627,2.5039081
,,,,
0.016667,32,0.5440071,0.2521611,0.7961682
,,,,
1,1,5.9281063,3.230069,9.1581753
,,,,
1,2,6.7827525,3.0807638,9.8635163
,,,,
1,4,5.9206047,2.9849486,8.9055533
,,,,
1,8,6.123073,3.5033486,9.6264216
,,,,
1,16,5.720249,3.29976,9.020009
,,,,
1,32,6.2012177,2.5741167,8.7753344
,,,,
15,1,5.0355453,4.961618,9.9971633
,,,,
15,2,5.3610973,4.632697,9.9937943
,,,,
15,4,5.4081445,4.5376616,9.9458061
,,,,
15,8,5.380602,4.5564737,9.9370757
,,,,
15,16,5.137501,4.682828,9.820329
,,,,
15,32,4.9936814,5.0022006,9.995882
,,,,
30,1,0.05743112,0.043223694,0.100654814
,,,,
30,2,0.67788124,0.32719293,1.00507417
,,,,
30,4,0.6285188,0.38019398,1.00871278
,,,,
30,8,0.3025421,0.34780973,0.65035183
,,,,
30,16,0.09272304,0.08983803,0.18256107
,,,,
30,32,0.08079035,0.07404882,0.15483917
,,,,
55,1,6.3386006,3.16477,9.5033706
,,,,
55,2,6.3090825,3.1414633,9.4505458
,,,,
55,4,6.228154,3.239287,9.467441
,,,,
55,8,6.464582,3.238047,9.702629
,,,,
55,16,5.857829,3.190508,9.048337
,,,,
55,32,5.5077195,2.9421325,8.449852
