Sampling rate,k,mae,stdv,mae+stdv
,,,,
0.0016667,1,0.15743892,0.10170591,0.25914483
,,,,
0.0016667,2,0.03219741,0.015148526,0.047345936
,,,,
0.0016667,4,0.020049522,0.014423251,0.034472773
,,,,
0.0016667,8,0.085128784,0.10147808,0.186606864
,,,,
0.0016667,16,0.3277077,0.29073164,0.61843934
,,,,
0.0016667,32,0.106302574,0.09161401,0.197916584
,,,,
0.016667,1,0.21879621,0.12752524,0.34632145
,,,,
0.016667,2,2.9088426,0.50119966,3.41004226
,,,,
0.016667,4,1.2810354,0.681437,1.9624724
,,,,
0.016667,8,1.4932934,0.8402336,2.333527
,,,,
0.016667,16,1.0931749,0.6339014,1.7270763
,,,,
0.016667,32,1.4535366,0.50142103,1.95495763
,,,,
1,1,6.917498,2.9867506,9.9042486
,,,,
1,2,6.7736793,3.068506,9.8421853
,,,,
1,4,7.049486,3.0137897,10.0632757
,,,,
1,8,6.2639546,3.1220152,9.3859698
,,,,
1,16,6.572879,2.7165217,9.2894007
,,,,
1,32,6.1499867,3.0552237,9.2052104
,,,,
15,1,5.0079126,4.991547,9.9994596
,,,,
15,2,5.363131,4.6746945,10.0378255
,,,,
15,4,5.4773326,4.537659,10.0149916
,,,,
15,8,5.346297,4.590308,9.936605
,,,,
15,16,5.1415825,4.5995975,9.74118
,,,,
15,32,5.140152,4.604192,9.744344
,,,,
30,1,0.06253181,0.050103627,0.112635437
,,,,
30,2,0.7515169,0.29000407,1.04152097
,,,,
30,4,0.16897269,0.15935443,0.32832712
,,,,
30,8,0.2352764,0.15657957,0.39185597
,,,,
30,16,0.09302432,0.09380886,0.18683318
,,,,
30,32,0.0470282,0.024915634,0.071943834
,,,,
55,1,6.434866,3.1762426,9.6111086
,,,,
55,2,6.501838,2.8754225,9.3772605
,,,,
55,4,6.375626,3.2061942,9.5818202
,,,,
55,8,6.3665943,3.1701245,9.5367188
,,,,
55,16,6.301644,3.1527288,9.4543728
,,,,
55,32,5.684928,3.0512607,8.7361887
